Code,German,English
ich 5890279,ich ,I
sie 3806767,sie ,she
das 3122198,das ,the
ist 3025610,ist ,is
du 2947020,du ,you
nicht 2756783,nicht ,not
die 2484854,die ,the
es 2303025,es ,it
und 2289891,und ,and
der 1726001,der ,the
wir 1721620,wir ,we
was 1696010,was ,What
zu 1424706,zu ,to
er 1352161,er ,he
ein 1315301,ein ,a
in 1231372,in ,in
ja 1054114,ja ,Yes
mir 1019451,mir ,me
mit 1014541,mit ,with
wie 928920,wie ,How
den 920646,den ,the
mich 893076,mich ,me
auf 881418,auf ,on
dass 879520,dass ,that
aber 854492,aber ,but
eine 839485,eine ,one
so 813903,so ,so
hat 799017,hat ,has
hier 754243,hier ,here
haben 742327,haben ,have
für 735252,für ,for
sind 727078,sind ,are
war 712337,war ,was
von 706490,von ,from
wenn 694462,wenn ,if
dich 688780,dich ,you
ihr 655351,ihr ,her
nein 641479,nein ,no
habe 636175,habe ,have
an 627600,an ,at
bin 576589,bin ,am
noch 572486,noch ,still
nur 564245,nur ,only
da 564244,da ,there
dir 554802,dir ,you
sich 533395,sich ,itself
einen 532402,einen ,a
uns 523604,uns ,us
hast 511491,hast ,have
dem 465044,dem ,dem
kann 461755,kann ,can
gut 452726,gut ,good
auch 449250,auch ,also
schon 442343,schon ,already
als 440490,als ,as
sein 440142,sein ,be
mal 435631,mal ,just
jetzt 435411,jetzt ,now
ihn 435147,ihn ,him
dann 429424,dann ,then
aus 425184,aus ,out of
meine 420280,meine ,mine
um 417759,um ,around
im 403737,im ,in the
wird 394216,wird ,becomes
mein 384765,mein ,my
bist 381498,bist ,are
doch 381456,doch ,but
alles 366575,alles ,everything
weiß 357869,weiß ,white
keine 349315,keine ,no
oder 341214,oder ,or
nach 326208,nach ,after
s 309957,s ,S
nichts 308672,nichts ,nothing
man 300922,man ,man
muss 295567,muss ,must
werden 294676,werden ,become
will 293445,will ,want
ihnen 292370,ihnen ,them
geht 290919,geht ,goes
wo 288363,wo ,where
etwas 286968,etwas ,something
oh 284455,oh ,Oh
mehr 281301,mehr ,more
bei 277087,bei ,at
also 276548,also ,so
bitte 261548,bitte ,please
immer 260238,immer ,always
hab 252697,hab ,have
warum 251177,warum ,Why
vor 247840,vor ,before
los 242543,los ,Come on
können 240905,können ,can
wieder 240508,wieder ,again
sagen 236702,sagen ,say
machen 228412,machen ,make
danke 227937,danke ,Thanks
sehr 226425,sehr ,very
alle 224850,alle ,all
